,date,lat,lon,mask,lst,lstn,ndvi,vcr,prec
2867,2019-06-18,34.92916666353753,-120.49583332253869,5.0,303.16,286.56,0.4989,71.0,0.0
2868,2019-06-02,34.92916666353753,-120.4874999892061,5.0,,,0.2832,62.0,0.79236900806427
2869,2019-06-10,34.92916666353753,-120.4874999892061,5.0,,286.64,0.3559,62.0,0.0
2870,2019-06-18,34.92916666353753,-120.4874999892061,5.0,303.22,286.56,0.3559,62.0,0.0
2871,2019-06-02,34.92083333020494,-120.4874999892061,5.0,,,0.3507,58.0,0.79236900806427
2872,2019-06-10,34.92083333020494,-120.4874999892061,5.0,,286.5,0.3284,58.0,0.0
2873,2019-06-18,34.92083333020494,-120.4874999892061,5.0,304.02,286.26,0.3284,58.0,0.0
2874,2019-06-02,34.92916666353753,-120.47916665587351,5.0,,,0.2832,44.0,0.79236900806427
2875,2019-06-10,34.92916666353753,-120.47916665587351,5.0,,286.64,0.3559,44.0,0.0
2876,2019-06-18,34.92916666353753,-120.47916665587351,5.0,303.22,286.56,0.3559,44.0,0.0
2880,2019-06-02,35.52916666348378,-119.25416665598325,5.0,308.78000000000003,291.04,0.3902,83.0,0.2768162488937378
2881,2019-06-10,35.52916666348378,-119.25416665598325,5.0,311.16,291.7,0.5022,83.0,0.0
2882,2019-06-18,35.52916666348378,-119.25416665598325,5.0,314.64,,0.5022,83.0,0.09286237508058548
2883,2019-06-02,36.06249999676933,-118.17916665607956,5.0,,280.24,0.4146,44.0,0.21596668660640717
2884,2019-06-10,36.06249999676933,-118.17916665607956,5.0,,,0.4123,44.0,0.05531160905957222
2885,2019-06-18,36.06249999676933,-118.17916665607956,5.0,305.76,284.94,0.4123,44.0,0.20838229358196259
2886,2019-06-02,36.06249999676933,-118.18749998941215,5.0,,279.5,0.40700000000000003,57.0,0.21596668660640717
2887,2019-06-10,36.06249999676933,-118.18749998941215,5.0,,,0.41050000000000003,57.0,0.05531160905957222
2888,2019-06-18,36.06249999676933,-118.18749998941215,5.0,305.3,284.3,0.41050000000000003,57.0,0.20838229358196259
2892,2019-06-02,35.845833330122076,-120.30416665588919,5.0,302.92,286.08,0.2235,78.0,0.9314374923706055
2893,2019-06-10,35.845833330122076,-120.30416665588919,5.0,,,0.1957,78.0,0.10575094819068909
2894,2019-06-18,35.845833330122076,-120.30416665588919,5.0,,287.7,0.1957,78.0,0.0
2895,2019-06-02,36.57083333005713,-119.77916665593622,5.0,309.04,291.46,0.5122,88.0,0.14558354020118713
2896,2019-06-10,36.57083333005713,-119.77916665593622,5.0,,,0.4788,88.0,0.06907857954502106
2897,2019-06-18,36.57083333005713,-119.77916665593622,5.0,,295.66,0.4788,88.0,0.04776959866285324
2898,2019-06-02,36.704166663378516,-119.6041666559519,5.0,309.24,291.72,0.51,83.0,0.4792359173297882
2899,2019-06-10,36.704166663378516,-119.6041666559519,5.0,309.36,,0.48650000000000004,83.0,0.04212063550949097
2900,2019-06-18,36.704166663378516,-119.6041666559519,5.0,314.40000000000003,297.28000000000003,0.48650000000000004,83.0,0.5295761823654175
2901,2019-06-02,36.704166663378516,-119.61249998928449,5.0,309.22,291.78000000000003,0.44,77.0,0.4792359173297882
2902,2019-06-10,36.704166663378516,-119.61249998928449,5.0,310.06,,0.4772,77.0,0.04212063550949097
2903,2019-06-18,36.704166663378516,-119.61249998928449,5.0,314.34000000000003,297.46,0.4772,77.0,0.5295761823654175
2907,2019-06-02,36.812499996702144,-119.74583332260588,5.0,315.1,295.88,0.3835,68.0,0.06790359318256378
2908,2019-06-10,36.812499996702144,-119.74583332260588,5.0,309.62,,0.36960000000000004,68.0,0.0
2909,2019-06-18,36.812499996702144,-119.74583332260588,5.0,,299.04,0.36960000000000004,68.0,0.30659613013267517
2910,2019-06-02,37.22916666333148,-120.33749998921954,5.0,307.64,292.0,0.46190000000000003,57.0,0.04752471297979355
2911,2019-06-10,37.22916666333148,-120.33749998921954,5.0,309.22,,0.5126000000000001,57.0,0.0
2912,2019-06-18,37.22916666333148,-120.33749998921954,5.0,311.6,295.7,0.5126000000000001,57.0,0.25837641954421997
2913,2019-06-02,37.65416666329341,-121.54583332244462,9.0,309.28000000000003,,0.19360000000000002,71.0,0.23564471304416656
2914,2019-06-10,37.65416666329341,-121.54583332244462,5.0,321.5,,0.1842,71.0,0.0
2915,2019-06-18,37.65416666329341,-121.54583332244462,5.0,319.76,293.56,0.1842,71.0,0.05606687441468239
2916,2019-06-02,37.65416666329341,-121.55416665577721,9.0,308.52,,0.2056,86.0,0.23564471304416656
2917,2019-06-10,37.65416666329341,-121.55416665577721,5.0,321.06,,0.1988,86.0,0.0
2918,2019-06-18,37.65416666329341,-121.55416665577721,5.0,319.7,293.48,0.1988,86.0,0.05606687441468239
2919,2019-06-02,38.187499996578964,-120.67083332252301,5.0,303.78000000000003,289.76,0.4556,67.0,0.4062204957008362
2920,2019-06-10,38.187499996578964,-120.67083332252301,5.0,303.48,,0.4237,67.0,0.0
2921,2019-06-18,38.187499996578964,-120.67083332252301,5.0,312.04,292.36,0.4237,67.0,0.24226708710193634
2922,2019-06-02,38.2291666632419,-121.47083332245134,5.0,304.42,,0.2743,84.0,0.5558187961578369
2923,2019-06-10,38.2291666632419,-121.47083332245134,5.0,315.18,,0.4665,84.0,0.0
2924,2019-06-18,38.2291666632419,-121.47083332245134,8.0,312.38,290.06,0.4665,84.0,0.15024180710315704
2928,2019-06-02,38.2291666632419,-121.47916665578393,5.0,304.58,,0.2931,81.0,0.5558187961578369
2929,2019-06-10,38.2291666632419,-121.47916665578393,5.0,313.36,,0.46280000000000004,81.0,0.0
2930,2019-06-18,38.2291666632419,-121.47916665578393,8.0,310.78000000000003,289.76,0.46280000000000004,81.0,0.15024180710315704
2931,2019-06-02,38.445833329889155,-121.06249998915459,5.0,307.08,,0.34550000000000003,90.0,0.4019579291343689
2932,2019-06-10,38.445833329889155,-121.06249998915459,5.0,320.48,,0.302,90.0,0.0
2933,2019-06-18,38.445833329889155,-121.06249998915459,5.0,318.1,293.62,0.302,90.0,0.09100934863090515
2934,2019-06-02,38.72083332986452,-123.00416665564731,5.0,291.68,,0.5148,62.0,0.0
2935,2019-06-10,38.72083332986452,-123.00416665564731,3.0,303.64,,0.46140000000000003,62.0,0.0
2936,2019-06-18,38.72083332986452,-123.00416665564731,5.0,294.5,291.14,0.46140000000000003,62.0,0.0
2943,2019-06-02,39.820833329765975,-121.9374999890762,5.0,303.14,,0.6101,68.0,0.362812876701355
2944,2019-06-10,39.820833329765975,-121.9374999890762,5.0,313.54,289.14,0.5271,68.0,0.0
2945,2019-06-18,39.820833329765975,-121.9374999890762,5.0,,296.42,0.5271,68.0,0.0
2946,2019-06-02,39.820833329765975,-121.92916665574361,5.0,303.8,,0.5844,71.0,0.362812876701355
2947,2019-06-10,39.820833329765975,-121.92916665574361,5.0,316.18,288.90000000000003,0.48310000000000003,71.0,0.0
2948,2019-06-18,39.820833329765975,-121.92916665574361,5.0,,296.40000000000003,0.48310000000000003,71.0,0.0
2958,2019-06-02,40.08749999640875,-123.070833322308,5.0,296.86,,0.4571,62.0,0.17867770791053772
2959,2019-06-10,40.08749999640875,-123.070833322308,5.0,307.5,285.6,0.5637,62.0,0.0
2960,2019-06-18,40.08749999640875,-123.070833322308,8.0,301.08,289.12,0.5637,62.0,0.0
2970,2019-06-02,37.67083332995858,-121.55416665577721,9.0,309.22,,0.20170000000000002,78.0,0.23564471304416656
2971,2019-06-10,37.67083332995858,-121.55416665577721,5.0,320.08,,0.1883,78.0,0.0
2972,2019-06-18,37.67083332995858,-121.55416665577721,5.0,319.1,294.18,0.1883,78.0,0.05606687441468239
2976,2019-06-02,39.72083332977493,-121.8791666557481,5.0,302.82,293.24,0.7676000000000001,57.0,0.362812876701355
2977,2019-06-10,39.72083332977493,-121.8791666557481,5.0,308.12,,0.7342000000000001,57.0,0.0
2978,2019-06-18,39.72083332977493,-121.8791666557481,5.0,,297.02,0.7342000000000001,57.0,0.0
2997,2019-06-02,40.07083332974358,-123.05416665564283,5.0,299.40000000000003,,0.5226000000000001,45.0,0.17867770791053772
2998,2019-06-10,40.07083332974358,-123.05416665564283,5.0,308.02,283.78000000000003,0.5615,45.0,0.0
2999,2019-06-18,40.07083332974358,-123.05416665564283,9.0,299.82,288.0,0.5615,45.0,0.0
3030,2019-06-02,37.07916666334492,-120.39583332254765,5.0,304.08,291.44,0.7593000000000001,75.0,0.050522856414318085
3031,2019-06-10,37.07916666334492,-120.39583332254765,5.0,303.0,,0.7329,75.0,0.0
3032,2019-06-18,37.07916666334492,-120.39583332254765,5.0,308.84000000000003,294.58,0.7329,75.0,0.10213358700275421
3033,2019-06-02,37.070833330012334,-120.39583332254765,5.0,305.92,291.40000000000003,0.3618,77.0,0.050522856414318085
3034,2019-06-10,37.070833330012334,-120.39583332254765,5.0,306.36,,0.5257000000000001,77.0,0.0
3035,2019-06-18,37.070833330012334,-120.39583332254765,5.0,310.8,294.78000000000003,0.5257000000000001,77.0,0.10213358700275421
3072,2019-06-02,32.53749999708512,-116.77083332287239,,,,,,0.0
3073,2019-06-10,32.53749999708512,-116.77083332287239,,,,,,0.0
3074,2019-06-18,32.53749999708512,-116.77083332287239,,,,,,0.0
3075,2019-06-02,32.53749999708512,-116.79583332287015,,,,,,0.0
3076,2019-06-10,32.53749999708512,-116.79583332287015,,,,,,0.0
3077,2019-06-18,32.53749999708512,-116.79583332287015,,,,,,0.0
3087,2019-06-02,40.079166663076165,-123.05416665564283,5.0,297.68,,0.5335,50.0,0.17867770791053772
3088,2019-06-10,40.079166663076165,-123.05416665564283,5.0,308.1,285.16,0.6148,50.0,0.0
3089,2019-06-18,40.079166663076165,-123.05416665564283,8.0,301.40000000000003,290.18,0.6148,50.0,0.0
3120,2019-06-02,35.120833330187025,-118.36249998939647,5.0,305.68,,0.4693,17.0,0.36516714096069336
3121,2019-06-10,35.120833330187025,-118.36249998939647,5.0,,,0.30720000000000003,17.0,0.0
3122,2019-06-18,35.120833330187025,-118.36249998939647,5.0,320.48,289.28000000000003,0.30720000000000003,17.0,0.0
3168,2019-06-02,36.054166663436746,-118.9708333226753,5.0,314.04,,0.3703,71.0,0.3107747435569763
3169,2019-06-10,36.054166663436746,-118.9708333226753,5.0,,,0.3629,71.0,0.0
3170,2019-06-18,36.054166663436746,-118.9708333226753,5.0,319.98,,0.3629,71.0,0.34329620003700256
3171,2019-06-02,36.054166663436746,-118.97916665600789,5.0,314.26,,0.3856,76.0,0.3107747435569763
3172,2019-06-10,36.054166663436746,-118.97916665600789,5.0,,,0.3799,76.0,0.0
3173,2019-06-18,36.054166663436746,-118.97916665600789,5.0,320.02,292.76,0.3799,76.0,0.34329620003700256
3183,2019-06-02,35.98749999677605,-121.29583332246702,5.0,301.72,286.62,0.38170000000000004,73.0,0.11263272911310196
3184,2019-06-10,35.98749999677605,-121.29583332246702,5.0,316.34000000000003,286.06,0.3497,73.0,0.09439399838447571
3185,2019-06-18,35.98749999677605,-121.29583332246702,5.0,,288.12,0.3497,73.0,0.0
3192,2019-06-02,35.98749999677605,-121.3041666557996,5.0,301.46,286.44,0.4248,85.0,0.11263272911310196
3193,2019-06-10,35.98749999677605,-121.3041666557996,5.0,315.1,287.46,0.34290000000000004,85.0,0.09439399838447571
3194,2019-06-18,35.98749999677605,-121.3041666557996,5.0,,287.96,0.34290000000000004,85.0,0.0
3195,2019-06-02,37.7874999966148,-118.96249998934272,5.0,,,0.3796,51.0,0.2381170392036438
3196,2019-06-10,37.7874999966148,-118.96249998934272,5.0,,,0.34940000000000004,51.0,0.0
3197,2019-06-18,37.7874999966148,-118.96249998934272,5.0,308.08,279.78000000000003,0.34940000000000004,51.0,0.10498836636543274
3198,2019-06-02,38.43749999655657,-121.07083332248718,5.0,307.78000000000003,,0.3759,89.0,0.4019579291343689
3199,2019-06-10,38.43749999655657,-121.07083332248718,5.0,321.94,,0.3028,89.0,0.0
3200,2019-06-18,38.43749999655657,-121.07083332248718,5.0,318.16,293.46,0.3028,89.0,0.09100934863090515
3201,2019-06-02,38.445833329889155,-121.07083332248718,5.0,307.22,,0.3554,87.0,0.4019579291343689
3202,2019-06-10,38.445833329889155,-121.07083332248718,5.0,321.14,,0.2893,87.0,0.0
3203,2019-06-18,38.445833329889155,-121.07083332248718,5.0,317.96,293.62,0.2893,87.0,0.09100934863090515
3204,2019-06-02,38.68749999653417,-121.72916665576153,5.0,307.46,,0.3098,89.0,0.4120643138885498
3205,2019-06-10,38.68749999653417,-121.72916665576153,5.0,316.32,,0.3241,89.0,0.0
3206,2019-06-18,38.68749999653417,-121.72916665576153,5.0,316.24,292.74,0.3241,89.0,0.0
3207,2019-06-02,38.837499996520734,-121.35416665579513,5.0,305.52,,0.47940000000000005,88.0,1.3030333518981934
3208,2019-06-10,38.837499996520734,-121.35416665579513,5.0,316.5,,0.47940000000000005,88.0,0.0
3209,2019-06-18,38.837499996520734,-121.35416665579513,5.0,315.62,294.88,0.47940000000000005,88.0,0.3895084857940674
